Epoca,Perdua,Accuracy,Items
1,1.549496646902778,0.4666475808760378,6986
2,0.9671051881530068,0.6747781276839393,6986
3,0.721003499085253,0.7615230460921844,6986
4,0.5667221088301052,0.8184941311193816,6986
5,0.5049848009239544,0.833237904380189,6986
6,0.4210645513101058,0.8600057257371887,6986
7,0.37267016917467116,0.8793300887489264,6986
8,0.345627851377834,0.8913541368451188,6986
9,0.2785871934484352,0.9085313484111079,6986
10,0.2367739042097872,0.9235614085313484,6986
11,0.22952754172411832,0.9237045519610649,6986
12,0.20366217825900423,0.9345834526195248,6986
13,0.16624862182546746,0.9425994846836531,6986
14,0.1645325959067453,0.9437446321213856,6986
15,0.1409723498943177,0.9541941024906957,6986
16,0.12200102785771544,0.9584884053821929,6986
17,0.11049146151000803,0.9662181505868881,6986
18,0.09683285968547517,0.9707987403378185,6986
19,0.08110502777113156,0.9733753220727168,6986
20,0.06376052564856681,0.9826796450042943,6986
