Epoca,Perdua,Accuracy,Items
1,3.703474941253662,0.075,1600
2,3.2328372955322267,0.144375,1600
3,2.8692295074462892,0.25,1600
4,2.562807331085205,0.304375,1600
5,2.317200984954834,0.36375,1600
6,2.115621314048767,0.4275,1600
7,1.9123481798171997,0.47875,1600
8,1.7678164005279542,0.52375,1600
9,1.6100258493423463,0.569375,1600
10,1.485779938697815,0.59125,1600
11,1.358416304588318,0.623125,1600
12,1.2291840314865112,0.674375,1600
13,1.1849365782737733,0.660625,1600
14,1.1078084421157837,0.6875,1600
15,0.9978695464134216,0.731875,1600
16,0.9766790223121643,0.734375,1600
17,0.8608956074714661,0.77125,1600
18,0.7943926095962525,0.788125,1600
19,0.7256846642494201,0.805625,1600
20,0.6770765495300293,0.823125,1600
21,0.6440355813503266,0.8225,1600
22,0.5909281241893768,0.831875,1600
23,0.5572046601772308,0.855625,1600
24,0.5105492115020752,0.860625,1600
25,0.4753504431247711,0.876875,1600
26,0.4865225720405579,0.873125,1600
27,0.42344125390052795,0.891875,1600
28,0.3976562905311585,0.89,1600
29,0.33753954350948334,0.909375,1600
30,0.3534419679641724,0.900625,1600
31,0.33973116040229795,0.905,1600
32,0.325043563246727,0.90875,1600
