Epoca,Perdua,Accuracy,Items
1,3.628649854660034,0.084375,1600
2,3.1286940670013426,0.166875,1600
3,2.853118028640747,0.219375,1600
4,2.6025159311294557,0.286875,1600
5,2.3798510026931763,0.349375,1600
6,2.218712422847748,0.388125,1600
7,2.0589712476730346,0.430625,1600
8,1.9127267813682556,0.474375,1600
9,1.820865683555603,0.478125,1600
10,1.6605885553359985,0.53625,1600
11,1.5541530442237854,0.555625,1600
12,1.4795746445655822,0.5575,1600
13,1.3794095361232757,0.600625,1600
14,1.2731289565563202,0.625625,1600
15,1.1683573269844054,0.651875,1600
16,1.1321365988254548,0.6625,1600
17,1.0483898198604584,0.70125,1600
18,0.9864278221130371,0.709375,1600
19,0.9242655336856842,0.733125,1600
20,0.8425841057300567,0.751875,1600
21,0.818390702009201,0.750625,1600
22,0.7828075420856476,0.755,1600
23,0.7147332632541656,0.783125,1600
24,0.7181844818592071,0.786875,1600
25,0.6993910694122314,0.7875,1600
26,0.6256780928373337,0.81875,1600
27,0.592053804397583,0.815,1600
28,0.5772467935085297,0.815625,1600
29,0.49355568051338194,0.845,1600
30,0.5426317512989044,0.830625,1600
31,0.5183239206671715,0.83375,1600
32,0.5015928816795349,0.85125,1600
33,0.39064266145229337,0.88625,1600
34,0.4198555129766464,0.873125,1600
35,0.3746883729100227,0.888125,1600
36,0.38013084679841996,0.88875,1600
37,0.34115914851427076,0.89125,1600
38,0.3275601272284985,0.9075,1600
39,0.29934879899024963,0.90875,1600
40,0.2816713219881058,0.918125,1600
41,0.3506720972061157,0.885,1600
42,0.2684745392203331,0.9175,1600
43,0.2580320789664984,0.925,1600
44,0.24685057997703552,0.931875,1600
45,0.22060375563800336,0.9375,1600
46,0.22330082952976227,0.9375,1600
47,0.23192078456282617,0.933125,1600
48,0.26653123281896113,0.914375,1600
