Epoca,Perdua,Accuracy,Items
1,3.648608765602112,0.05875,1600
2,3.3474177312850952,0.121875,1600
3,3.11685998916626,0.165625,1600
4,2.9131123447418212,0.213125,1600
5,2.7337595510482786,0.24,1600
6,2.538716459274292,0.29,1600
7,2.378415424823761,0.334375,1600
8,2.239527223110199,0.37375,1600
9,2.150471112728119,0.376875,1600
10,2.030350458621979,0.415,1600
11,1.9572956681251525,0.435625,1600
12,1.841800904273987,0.461875,1600
13,1.7154970908164977,0.47875,1600
14,1.6220517253875733,0.5225,1600
15,1.5758715605735778,0.52625,1600
16,1.4655582213401794,0.573125,1600
17,1.4835278224945068,0.56375,1600
18,1.318832186460495,0.61,1600
19,1.2664602875709534,0.638125,1600
20,1.231640626192093,0.640625,1600
21,1.2259135246276855,0.645,1600
22,1.1515949642658234,0.655625,1600
23,1.0864321827888488,0.668125,1600
24,1.06366202712059,0.685625,1600
25,1.0691098856925965,0.680625,1600
26,1.0408159804344177,0.680625,1600
27,0.936073306798935,0.730625,1600
28,0.9142741823196411,0.723125,1600
29,0.9437666523456574,0.715,1600
30,0.9256535410881043,0.7175,1600
