Epoca,Perdua,Accuracy,Items
1,3.644051218032837,0.0725,1600
2,3.092458391189575,0.186875,1600
3,2.6968872642517088,0.29,1600
4,2.4361874198913576,0.333125,1600
5,2.195024938583374,0.4,1600
6,2.0277359247207642,0.44875,1600
7,1.8248212814331055,0.495,1600
8,1.6793801975250244,0.534375,1600
9,1.4859815263748168,0.5875,1600
10,1.3600084447860719,0.619375,1600
11,1.2785095119476317,0.65125,1600
12,1.1545493602752686,0.681875,1600
13,1.0530226635932922,0.708125,1600
14,0.9251832222938537,0.751875,1600
15,0.8842934417724609,0.755625,1600
16,0.8492809724807739,0.76125,1600
17,0.7143489634990692,0.804375,1600
18,0.655433441400528,0.82625,1600
19,0.6281503319740296,0.83,1600
20,0.6125366199016571,0.830625,1600
21,0.5085201358795166,0.870625,1600
22,0.42327527403831483,0.895,1600
23,0.42492271423339845,0.889375,1600
24,0.4415523910522461,0.8625,1600
25,0.5414139556884766,0.84,1600
